position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00198018	0.999963	3.69873e-05	6.08069e-06	0.999994
N/A	0.00198031	0.999964	3.63795e-05	0.000191687	0.999808
N/A	0.00198079	0.999968	3.16786e-05	5.03667e-06	0.999995
N/A	0.00198085	0.999961	3.8895e-05	7.69769e-09	1
N/A	0.00198106	0.999965	3.46652e-05	7.88451e-08	1
N/A	0.00198134	0.999968	3.16926e-05	3.85064e-07	1
N/A	0.00198164	0.999965	3.45309e-05	5.60338e-06	0.999994
N/A	0.0019817	0.999954	4.59511e-05	2.1025e-05	0.999979
N/A	0.00198187	0.999961	3.92549e-05	4.09321e-05	0.999959
N/A	0.00198199	0.999964	3.56706e-05	5.62408e-06	0.999994
N/A	0.00198199	0.999959	4.06316e-05	2.55522e-05	0.999974
N/A	0.00198229	0.999971	2.94127e-05	2.45429e-06	0.999998
N/A	0.00198248	0.999969	3.0671e-05	7.43462e-07	0.999999
N/A	0.00198269	0.999962	3.7813e-05	0.000100742	0.999899
N/A	0.00198275	0.999967	3.31692e-05	0.000266021	0.999734
N/A	0.00198307	0.999962	3.75025e-05	6.46047e-06	0.999994
N/A	0.00198308	0.999964	3.58335e-05	2.68346e-09	1
N/A	0.00198308	0.999968	3.23186e-05	4.32969e-09	1
N/A	0.00198318	0.999961	3.92369e-05	2.1428e-05	0.999979
N/A	0.00198323	0.999972	2.75371e-05	0.00036758	0.999632
N/A	0.00198324	0.999969	3.08214e-05	1.65789e-05	0.999983
N/A	0.00198336	0.999974	2.62126e-05	1.00461e-06	0.999999
N/A	0.00198359	0.999961	3.91026e-05	2.07525e-05	0.999979
N/A	0.00198424	0.999969	3.10518e-05	4.60055e-07	1
N/A	0.00198434	0.999961	3.94831e-05	1.9007e-09	1
N/A	0.00198461	0.999979	2.1393e-05	6.56741e-06	0.999993
N/A	0.00198507	0.99996	3.97585e-05	6.90384e-05	0.999931
N/A	0.00198512	0.99997	3.01755e-05	7.06008e-07	0.999999
N/A	0.00198512	0.999962	3.77353e-05	2.63281e-06	0.999997
N/A	0.00198535	0.999967	3.33582e-05	1.03017e-06	0.999999
N/A	0.00198557	0.999965	3.53968e-05	4.2698e-07	1
N/A	0.00198562	0.999964	3.56851e-05	1.09438e-06	0.999999
N/A	0.00198567	0.999968	3.18751e-05	1.03621e-08	1
N/A	0.0019863	0.999961	3.87513e-05	3.82275e-07	1
N/A	0.00198653	0.999955	4.54494e-05	5.97312e-06	0.999994
N/A	0.00198655	0.999962	3.83276e-05	0.000128689	0.999871
N/A	0.00198658	0.999966	3.39129e-05	0.000132452	0.999868
N/A	0.00198678	0.999946	5.39947e-05	0.00018144	0.999819
N/A	0.00198689	0.999961	3.9338e-05	2.74207e-09	1
N/A	0.00198708	0.999965	3.50577e-05	9.2386e-06	0.999991
N/A	0.00198722	0.999967	3.31925e-05	6.44719e-05	0.999936
N/A	0.00198726	0.999974	2.62928e-05	4.17948e-08	1
N/A	0.00198745	0.999975	2.53687e-05	1.00568e-05	0.99999
N/A	0.0019875	0.999957	4.31807e-05	3.69931e-07	1
N/A	0.00198786	0.999969	3.06092e-05	2.41738e-09	1
N/A	0.00198798	0.999956	4.44538e-05	7.7314e-07	0.999999
N/A	0.00198844	0.999961	3.87143e-05	3.73195e-06	0.999996
N/A	0.00198845	0.999959	4.05709e-05	4.42047e-05	0.999956
N/A	0.00198848	0.99996	4.04674e-05	0.000591822	0.999408
N/A	0.00198875	0.999957	4.31606e-05	3.86035e-08	1
N/A	0.00198893	0.999965	3.45855e-05	2.54457e-07	1
N/A	0.00198895	0.999952	4.81444e-05	1.51031e-06	0.999998
N/A	0.00198899	0.999948	5.16778e-05	4.91868e-09	1
N/A	0.00198921	0.999956	4.44371e-05	9.54142e-07	0.999999
N/A	0.00198942	0.999957	4.32539e-05	1.38519e-09	1
N/A	0.0019896	0.999964	3.60984e-05	6.9804e-09	1
N/A	0.00198964	0.999961	3.86728e-05	3.32776e-06	0.999997
N/A	0.00198973	0.999977	2.29851e-05	0.000603723	0.999396
N/A	0.00198993	0.999957	4.34091e-05	1.61305e-08	1
N/A	0.00199011	0.999971	2.85931e-05	3.02264e-05	0.99997
N/A	0.00199014	0.999963	3.71842e-05	2.90882e-05	0.999971
N/A	0.00199019	0.999966	3.36781e-05	0.000245033	0.999755
N/A	0.0019904	0.999969	3.10387e-05	5.85177e-06	0.999994
N/A	0.00199043	0.999961	3.89872e-05	3.97632e-09	1
N/A	0.00199052	0.999956	4.37986e-05	1.67197e-08	1
N/A	0.00199087	0.999963	3.7195e-05	1.55838e-07	1
N/A	0.00199088	0.999961	3.93302e-05	1.48898e-08	1
N/A	0.00199146	0.999975	2.52381e-05	4.22887e-09	1
N/A	0.00199157	0.99998	2.00085e-05	2.05681e-08	1
N/A	0.00199185	0.999947	5.27391e-05	8.92302e-08	1
N/A	0.001992	0.999965	3.47788e-05	0.000429554	0.99957
N/A	0.00199208	0.999955	4.54963e-05	1.53449e-09	1
N/A	0.00199237	0.999973	2.7111e-05	4.4956e-08	1
N/A	0.00199247	0.999978	2.16284e-05	5.62141e-05	0.999944
N/A	0.00199247	0.999963	3.66728e-05	5.09044e-07	0.999999
N/A	0.00199255	0.999964	3.63995e-05	0.000560102	0.99944
N/A	0.00199265	0.999974	2.58701e-05	1.93201e-05	0.999981
N/A	0.00199268	0.99996	4.02858e-05	1.68838e-07	1
N/A	0.00199282	0.999967	3.31716e-05	2.47423e-08	1
N/A	0.00199305	0.99998	2.02896e-05	0.000112266	0.999888
N/A	0.00199306	0.999968	3.1593e-05	8.49614e-09	1
N/A	0.00199307	0.999967	3.274e-05	4.02661e-07	1
N/A	0.0019931	0.999953	4.69515e-05	8.18183e-07	0.999999
N/A	0.00199314	0.99995	4.98422e-05	7.2321e-07	0.999999
N/A	0.00199352	0.999962	3.79443e-05	3.65209e-05	0.999963
N/A	0.0019936	0.999962	3.78872e-05	0.00098688	0.999013
N/A	0.00199368	0.999971	2.88364e-05	1.74164e-05	0.999983
N/A	0.00199381	0.999974	2.62189e-05	9.26307e-09	1
N/A	0.00199399	0.999952	4.75669e-05	4.48067e-07	1
N/A	0.00199413	0.999954	4.61444e-05	0.000227244	0.999773
N/A	0.00199417	0.999975	2.51611e-05	2.37616e-05	0.999976
N/A	0.00199421	0.999958	4.23003e-05	7.05943e-09	1
N/A	0.00199429	0.999969	3.14516e-05	1.16092e-09	1
N/A	0.00199462	0.999969	3.05254e-05	1.28864e-06	0.999999
N/A	0.00199466	0.999977	2.25926e-05	1.27075e-08	1
N/A	0.00199473	0.999971	2.9399e-05	0.000969365	0.999031
N/A	0.00199496	0.999961	3.91976e-05	2.95445e-06	0.999997
N/A	0.00199524	0.99996	4.00657e-05	7.89531e-07	0.999999
N/A	0.00199543	0.99996	4.04021e-05	0.000145435	0.999855
N/A	0.00199548	0.999959	4.09301e-05	1.18208e-05	0.999988
N/A	0.00199549	0.999964	3.57469e-05	2.06522e-09	1
N/A	0.00199567	0.99997	2.96226e-05	1.32646e-08	1
N/A	0.00199588	0.99996	3.98061e-05	3.19093e-09	1
N/A	0.00199616	0.999961	3.88826e-05	8.95695e-05	0.99991
N/A	0.00199622	0.999967	3.30089e-05	7.97855e-09	1
N/A	0.00199639	0.999967	3.29779e-05	1.27112e-06	0.999999
N/A	0.00199666	0.999963	3.71308e-05	5.9375e-08	1
N/A	0.00199667	0.999968	3.15068e-05	0.000152731	0.999847
N/A	0.00199723	0.999957	4.33916e-05	1.15681e-07	1
N/A	0.00199729	0.999964	3.59058e-05	9.46973e-05	0.999905
N/A	0.00199736	0.999971	2.91596e-05	0.000349796	0.99965
N/A	0.00199736	0.999968	3.21504e-05	4.32416e-08	1
N/A	0.00199759	0.999959	4.0568e-05	4.01847e-07	1
N/A	0.00199764	0.999969	3.12649e-05	0.000141351	0.999859
N/A	0.00199765	0.999975	2.53198e-05	1.18214e-05	0.999988
N/A	0.00199769	0.99998	2.02667e-05	0.000481244	0.999519
N/A	0.00199781	0.999959	4.08507e-05	5.19421e-08	1
N/A	0.00199784	0.999964	3.60438e-05	3.29781e-07	1
N/A	0.00199787	0.999962	3.7636e-05	0.000441463	0.999559
